Show #,Show No.,Title,Topics,Synopsis,Original Air Date,Transcript,Recipes
EA1B02,16TH,For Whom the Cheese Melts,"Cheese, Cheese Monger, Cheese Making, Cutting Board, Fondue","Alton Brown loves cheese as much as anyone. See what fondue has to do with football, make the best grilled cheese sandwich you have ever had and see why cheese is milk's leap to immortality. (foodtv.com)",1.19.2000,For Whom the Cheese Melts,1) Fondue Vudu 2) Big Cheese Squeeze
EA1B01,15TH,It's a Wonderful Cake,"Fruitcake, Sulfides, Macerate, Drupes, Pecans, Spices, Cinnamon, Ginger, Spice Storage",Alton Brown is out to prove that fruitcake shouldn't be the butt of holiday jokes any longer. Watch as he shows the history and the quick and easy preparation of the unfairly maligned but delicious fruitcake. (foodtv.com),12.15.1999,It's a Wonderful Cake,1) Free Range Fruitcake
EASP01,14TH,Romancing The Bird—A Good Eats Thanksgiving,"Turkeys, Brining, Electric Knives, Stuffing, Basting, Probe Thermometers","Alton Brown's on a mission to shake the dry-turkey curse that's haunted his family for generations. Before he's overrun by meddling (not to mention uninvited) kinfolk, can Alton unlock the secrets of a juicy turkey that cooks in just two hours? (foodtv.com 1999) Follow Alton Brown on his mission to throw off the dry turkey curse that's haunted his family for ages. Can he unlock the secrets to a juicy turkey that cooks in just two hours before being overrun by meddling (not to mention uninvited) kinfolk? (foodtv.com 2000)",11.14.1999 (During Season 1),Romancing The Bird-A Good Eats Thanksgiving,1) Good Eats Roast Turkey 2) Sweet Corn Bread Pudding 3) Tart Cranberry Dipping Sauce
EA1A13,13TH,Art of Darkness,"Chocolate, Cacao, Folding Technique, Theobroma cacao, Seizing","Alton Brown delves into the dark world of chocolate, picks a pod, roasts some beans, questions mysterious guests, visits his shrink, makes a mousse and hits upon the ultimate chocolate recipe. (foodtv.com)",9.29.1999,Art of Darkness,1) Chocolate Mousse 2) Chocolate Lava Muffins
EA1A12,12TH,Power to the Pilaf,"Rice, Pilaf, Rice Cookers, Saffron, Starch, Rice to Water Ratio","Alton brown heads to LA for a sack of rice, evaluates rice cookers, unlocks saffron and rewrites the rules for the most versatile of all rice dishes: pilaf. (foodtv.com)",9.22.1999,Power to the Pilaf,1) Rice Pilaf
EA1A11,11TH,"Pantry Raid I: ""Use Your Noodle""","Pasta, Spaghetti, Pots, Extrusion, Colanders, Olive Oil,","Part one of an ongoing series looks at the king of pantry essentials: Dried pasta. Alton Brown explores pasta styles, the best cooking method (water is key), the tools you really need (big), and a different way of saucing. (foodtv.com)",9.15.1999,Use Your Noodle,1) Pasta
EA1A10,10TH,"Hook, Line and Dinner","Fish, Fish Cuts, Salt Dome","Alton Brown dives deep into the watery world of fish and finds that with just three cooking methods under your belt, you can cook just about all of the critters. (foodtv.com)",9.8.1999,"Hook, Line and Dinner",1) Grilled Salmon Steaks 2) Pan Fried Fish 3) Striped Bass in Salt Dome
EA1A09,9TH,A Bowl of Onion,"Onion, French Onion Soup, Electric Skillet, Terroir, Vidalia, Cutting Onions, Bouquet Garni","Host Alton Brown journeys to the center of the onion. After rediscovering a kitchen classic, and debunking the mythology of tear-free onion cutting, he emerges with a darned fine bowl of soup. (foodtv.com)",9.1.1999,A Bowl of Onion,1) French Onion Soup
EA1A08,8TH,Gravy Confidential,"Gravy, Roux, Colloids, Starch, Saucier, Mother Sauces","Don't miss the (gravy) boat as host Alton Brown (armed with the right pan and whisk for the job) conquers ""rouxs"" and leads the way to lump free liquid love. (foodtv.com)",8.25.1999,Gravy Confidential,1) Gravy from Roast Drippings 2) Sawmill Gravy 3) White Roux
EA1A07,7TH,The Dough Also Rises,"Biscuits, Flour, Baking Powder, Sheet Pans, Shortening, Lard","Searching for the perfect southern-style biscuit, Alton Brown investigates flour and leaveners and turns to his Grandmother for a pointer or two...not to mention a few pointed comments. (foodtv.com)",8.18.1999,The Dough Also Rises,1) Southern Biscuits 2) Scones 3) Shortcake
EA1A06,6TH,Churn Baby Churn,"Ice Cream, Churns, Vanilla, Sorbet","You scream, I scream, but Alton Brown would rather make his own ice cream...and sorbet and granita. Secrets the pros don't want you to know and how to find an ice cream machine that delivers the goods without breaking the bank. (foodtv.com)",8.11.1999,Churn Baby Churn,1) Serious Vanilla Ice Cream 2) Coffee Granita 3) Key Lime Sorbet
EA1A05,5TH,A Bird In The Pan,"Chicken, Fond, Mise en Place, Roasting Pan, Butterflying, Jus","Why did the chicken cross the road? Probably to escape Alton Brown, who seems intent on defining the perfect broiled chicken that's out of the oven and bathed in sauce in under half an hour. (foodtv.com)",8.4.1999,A Bird In The Pan,"1) Broiled, Butterflied Chicken"
EA1A04,4TH,Salad Daze,"Lettuce, Lettuce Storage, Vinaigrette, Spin Dryers, Croutons","Exiled to bars, chopped and pre-packaged, drenched in noxious concoctions, the tossed salad deserves better. Alton Brown goes back to salad basics and pays homage to Caesar. (foodtv.com)",7.28.1999,Salad Daze,1) Veni Vedi Vinaigrette 2) Hail Caesar Salad
EA1A03,3RD,The Egg-Files,"Egg, Egg Grading, Chickens","Alton Brown cracks the mysterious egg case and pursues a higher understanding of the amazing ovoid's culinary powers. How to land a non-stick pan, scramble, over easy--and consider eggs for dessert. (foodtv.com)",7.21.1999,The Egg-Files,1) Eggs Over Easy 2) Lemon Curd 3) Scrambled Eggs Unscrambled
EA1A02,2ND,This Spud's For You,"Potatoes, Gratin, Starch","Alton Brown ponders the potato and its main ingredient: Starch. Baking, mashing and gratins are re-examined. (foodtv.com)","7.??.1998: WTTW Ch. 11, Chicago, IL 7.14.1999: FoodTV",This Spud's For You,1) The Baked Potato 2) Potato/Portobello Gratin 3) Mashers
EA1A01,1ST,Steak Your Claim,"Steak, Cast Iron, Probe Thermometer, Salt",--none--,"07.??.1998: WTTW, Ch. 11, Chicago, IL 07.07.1999: FoodTV",Steak Your Claim,1) Pan Seared Rib Eye
